Latitude,Longitude,Weight (g)
41.504764,-87.682127,2500
41.492279,-87.680312,50
41.4827299,-87.670138,1000
41.483404,-87.686928,344
41.495513,-87.686539,900
41.464059,-87.699057,160
41.5086561,-87.6829963,3400
41.498318,-87.694615,957
41.5007469,-87.681909,892
41.472989,-87.680222,150
41.47975,-87.680852,50
41.500269,-87.681987,150
41.4827299,-87.670138,530
41.481987,-87.680406,638
41.4847195,-87.6742044,183
41.4740535,-87.6742498,160
41.4697895,-87.6673666,600
41.5007937,-87.6850843,1153
41.4775319,-87.6828445,110
41.4775319,-87.6828445,293
41.4775319,-87.6828445,241
41.46935,-87.652814,128
41.4641994,-87.6500139,150
41.478879,-87.693651,385
41.4827299,-87.670138,110
41.4802449,-87.6781442,280
41.4775319,-87.6828445,544
41.466741,-87.693207,100
41.488866,-87.6994085,800
41.4928982,-87.67845,200
41.4775319,-87.6828445,600
41.4775319,-87.6828445,900
41.5060851,-87.699593,26
41.4873629,-87.6816704,50
41.4976308,-87.6831624,380
41.4800085,-87.6726779,94
41.4775319,-87.6828445,212
41.490172,-87.6774293,50
41.4802539,-87.6781292,81
41.489491,-87.693063,1012
41.4868056,-87.6742134,341
41.4606033,-87.6373587,39
41.4892417,-87.6792076,1230
41.4728823,-87.6741107,110
41.47188,-87.6769489,220
41.4802211,-87.6741368,333
41.4697895,-87.6742358,88
41.4697875,-87.6378176,10
41.4697875,-87.6378176,20
41.4680825,-87.6469169,125
41.4463365,-87.6313963,48
41.50657,-87.686637,5259
